时间,通道,频率 (Hz),温度 (C),状态
2026-06-18 16:44:04,5,2910.80,25.5,OK
2026-06-18 16:44:14,6,2733.40,25.8,OK
2026-06-18 16:44:24,7,,,Timeout/Error
2026-06-18 16:44:35,8,,,Timeout/Error
2026-06-18 16:44:45,1,2885.50,26.6,OK
2026-06-18 16:44:55,2,2847.10,26.2,OK
2026-06-18 16:45:05,3,2892.60,26.2,OK
2026-06-18 16:45:16,4,879.90,26.4,OK
2026-06-18 16:45:26,5,2910.90,25.5,OK
2026-06-18 16:45:36,6,2733.30,25.8,OK
2026-06-18 16:45:47,7,,,Timeout/Error
2026-06-18 16:45:57,8,,,Timeout/Error
2026-06-18 16:46:07,1,2885.80,26.5,OK
2026-06-18 16:46:17,2,2847.10,26.2,OK
2026-06-18 16:46:28,3,2892.60,26.2,OK
2026-06-18 16:46:38,4,880.00,26.4,OK
2026-06-18 16:46:48,5,2910.70,25.5,OK
2026-06-18 16:46:59,6,2733.20,25.7,OK
2026-06-18 16:47:09,7,,,Timeout/Error
2026-06-18 16:47:19,8,,,Timeout/Error
2026-06-18 16:47:29,1,2885.80,26.7,OK
2026-06-18 16:47:39,2,2847.10,26.2,OK
2026-06-18 16:47:50,3,2892.50,26.2,OK
2026-06-18 16:48:00,4,880.00,26.3,OK
2026-06-18 16:48:11,5,2910.60,25.5,OK
2026-06-18 16:48:21,6,2733.40,25.8,OK
2026-06-18 16:48:31,7,,,Timeout/Error
2026-06-18 16:48:41,8,,,Timeout/Error
2026-06-18 16:48:52,1,,,Timeout/Error
2026-06-18 16:49:03,2,2847.10,26.2,OK
2026-06-18 16:49:13,3,2892.60,26.2,OK
2026-06-18 16:49:23,4,880.00,26.3,OK
2026-06-18 16:49:33,5,2910.60,25.5,OK
2026-06-18 16:49:44,6,2733.20,25.8,OK
2026-06-18 16:49:54,7,,,Timeout/Error
2026-06-18 16:50:04,8,,,Timeout/Error
2026-06-18 16:50:14,1,2885.70,26.7,OK
2026-06-18 16:50:25,2,2847.10,26.1,OK
2026-06-18 16:50:35,3,2892.60,26.1,OK
2026-06-18 16:50:46,4,880.00,26.3,OK
2026-06-18 16:50:56,5,2910.70,25.5,OK
2026-06-18 16:51:06,6,2733.40,25.8,OK
2026-06-18 16:51:16,7,,,Timeout/Error
2026-06-18 16:51:27,8,,,Timeout/Error
2026-06-18 16:51:37,1,2885.50,26.7,OK
2026-06-18 16:51:47,2,2847.10,26.2,OK
2026-06-18 16:51:58,3,2892.60,26.2,OK
2026-06-18 16:52:08,4,880.00,26.4,OK
2026-06-18 16:52:18,5,2910.60,25.5,OK
2026-06-18 16:52:28,6,2733.40,25.8,OK
2026-06-18 16:52:39,7,,,Timeout/Error
2026-06-18 16:52:49,8,,,Timeout/Error
2026-06-18 16:52:59,1,2885.50,26.8,OK
2026-06-18 16:53:09,2,2847.20,26.2,OK
2026-06-18 16:53:20,3,2892.50,26.2,OK
2026-06-18 16:53:30,4,880.00,26.4,OK
2026-06-18 16:53:41,5,2910.50,25.6,OK
2026-06-18 16:53:51,6,2733.30,25.9,OK
2026-06-18 16:54:01,7,,,Timeout/Error
2026-06-18 16:54:11,8,,,Timeout/Error
2026-06-18 16:54:21,1,2885.50,26.7,OK
2026-06-18 16:54:32,2,2847.20,26.2,OK
2026-06-18 16:54:42,3,2892.50,26.2,OK
2026-06-18 16:54:53,4,880.00,26.3,OK
2026-06-18 16:55:03,5,2910.60,25.6,OK
2026-06-18 16:55:13,6,2733.30,25.9,OK
2026-06-18 16:55:23,7,,,Timeout/Error
2026-06-18 16:55:33,8,,,Timeout/Error
2026-06-18 16:55:44,1,2885.50,26.8,OK
2026-06-18 16:55:54,2,2847.20,26.3,OK
2026-06-18 16:56:04,3,2892.60,26.3,OK
2026-06-18 16:56:15,4,880.00,26.4,OK
2026-06-18 16:56:25,5,2910.60,25.6,OK
2026-06-18 16:56:35,6,2733.30,25.8,OK
2026-06-18 16:56:45,7,,,Timeout/Error
2026-06-18 16:56:56,8,,,Timeout/Error
2026-06-18 16:57:06,1,2885.50,26.8,OK
2026-06-18 16:57:16,2,2847.20,26.2,OK
2026-06-18 16:57:27,3,2892.60,26.2,OK
2026-06-18 16:57:37,4,880.00,26.4,OK
2026-06-18 16:57:47,5,2910.70,25.6,OK
2026-06-18 16:57:57,6,2733.30,25.9,OK
2026-06-18 16:58:08,7,,,Timeout/Error
2026-06-18 16:58:18,8,,,Timeout/Error
2026-06-18 16:58:28,1,2885.40,26.8,OK
2026-06-18 16:58:38,2,2847.20,26.2,OK
2026-06-18 16:58:49,3,2892.60,26.3,OK
2026-06-18 16:58:59,4,880.10,26.4,OK
2026-06-18 16:59:10,5,2910.60,25.7,OK
2026-06-18 16:59:20,6,2733.20,25.9,OK
2026-06-18 16:59:30,7,,,Timeout/Error
2026-06-18 16:59:40,8,,,Timeout/Error
2026-06-18 16:59:50,1,2885.60,26.7,OK
2026-06-18 17:00:01,2,2847.20,26.3,OK
2026-06-18 17:00:11,3,2892.70,26.3,OK
2026-06-18 17:00:21,4,880.10,26.4,OK
2026-06-18 17:00:31,5,2910.50,25.7,OK
2026-06-18 17:00:41,6,2733.30,25.9,OK
2026-06-18 17:00:52,7,,,Timeout/Error
2026-06-18 17:01:02,8,,,Timeout/Error
2026-06-18 17:01:12,1,2885.50,26.7,OK
2026-06-18 17:01:22,2,2847.20,26.3,OK
2026-06-18 17:01:33,3,2892.60,26.3,OK
2026-06-18 17:01:43,4,880.10,26.3,OK
2026-06-18 17:01:54,5,2910.60,25.6,OK
2026-06-18 17:02:04,6,2733.30,25.9,OK
2026-06-18 17:02:14,7,,,Timeout/Error
2026-06-18 17:02:24,8,,,Timeout/Error
2026-06-18 17:02:34,1,2885.50,26.9,OK
2026-06-18 17:02:45,2,2847.20,26.3,OK
2026-06-18 17:02:55,3,2892.50,26.3,OK
2026-06-18 17:03:05,4,880.10,26.4,OK
2026-06-18 17:03:16,5,2910.60,25.7,OK
2026-06-18 17:03:26,6,2733.20,25.9,OK
2026-06-18 17:03:36,7,,,Timeout/Error
2026-06-18 17:03:46,8,,,Timeout/Error
2026-06-18 17:03:58,1,,,Timeout/Error
2026-06-18 17:04:08,2,2847.20,26.3,OK
2026-06-18 17:04:18,3,2892.70,26.3,OK
2026-06-18 17:04:28,4,880.10,26.4,OK
2026-06-18 17:04:39,5,2910.60,25.7,OK
2026-06-18 17:04:49,6,2733.30,25.9,OK
2026-06-18 17:04:59,7,,,Timeout/Error
2026-06-18 17:05:09,8,,,Timeout/Error
2026-06-18 17:05:19,1,2885.50,27.0,OK
2026-06-18 17:05:30,2,2847.30,26.3,OK
2026-06-18 17:05:40,3,2892.50,26.3,OK
2026-06-18 17:05:51,4,880.10,26.4,OK
2026-06-18 17:06:01,5,2910.60,25.7,OK
2026-06-18 17:06:11,6,2733.30,25.9,OK
2026-06-18 17:06:21,7,,,Timeout/Error
2026-06-18 17:06:32,8,,,Timeout/Error
2026-06-18 17:06:42,1,2885.50,27.0,OK
2026-06-18 17:06:52,2,2847.30,26.3,OK
2026-06-18 17:07:02,3,2892.50,26.3,OK
2026-06-18 17:07:13,4,880.10,26.4,OK
2026-06-18 17:07:23,5,2910.70,25.8,OK
2026-06-18 17:07:33,6,2733.40,26.0,OK
2026-06-18 17:07:43,7,,,Timeout/Error
2026-06-18 17:07:54,8,,,Timeout/Error
2026-06-18 17:08:04,1,2885.60,26.9,OK
2026-06-18 17:08:14,2,2847.30,26.3,OK
2026-06-18 17:08:25,3,2892.50,26.3,OK
2026-06-18 17:08:35,4,880.10,26.4,OK
2026-06-18 17:08:45,5,2910.60,25.8,OK
2026-06-18 17:08:55,6,2733.30,26.0,OK
2026-06-18 17:09:06,7,,,Timeout/Error
2026-06-18 17:09:16,8,,,Timeout/Error
2026-06-18 17:09:26,1,2885.50,27.0,OK
2026-06-18 17:09:36,2,2847.30,26.4,OK
2026-06-18 17:09:47,3,2892.60,26.4,OK
2026-06-18 17:09:57,4,880.10,26.4,OK
2026-06-18 17:10:08,5,2910.70,25.8,OK
2026-06-18 17:10:18,6,2733.30,26.0,OK
2026-06-18 17:10:28,7,,,Timeout/Error
2026-06-18 17:10:38,8,,,Timeout/Error
2026-06-18 17:10:48,1,2885.80,26.9,OK
2026-06-18 17:10:59,2,2847.30,26.3,OK
2026-06-18 17:11:09,3,2892.50,26.3,OK
2026-06-18 17:11:19,4,880.10,26.5,OK
2026-06-18 17:11:29,5,2910.70,25.7,OK
2026-06-18 17:11:39,6,2733.40,26.0,OK
2026-06-18 17:11:50,7,,,Timeout/Error
2026-06-18 17:12:00,8,,,Timeout/Error
2026-06-18 17:12:10,1,2885.70,27.0,OK
2026-06-18 17:12:20,2,2847.30,26.3,OK
2026-06-18 17:12:31,3,2892.50,26.4,OK
2026-06-18 17:12:41,4,880.10,26.4,OK
2026-06-18 17:12:51,5,2910.60,25.8,OK
2026-06-18 17:13:02,6,2733.40,26.0,OK
2026-06-18 17:13:12,7,,,Timeout/Error
2026-06-18 17:13:22,8,,,Timeout/Error
2026-06-18 17:13:32,1,2885.50,27.1,OK
2026-06-18 17:13:42,2,2847.30,26.4,OK
2026-06-18 17:13:53,3,2892.60,26.4,OK
2026-06-18 17:14:03,4,880.20,26.5,OK
2026-06-18 17:14:14,5,2910.60,25.8,OK
2026-06-18 17:14:24,6,2733.40,26.0,OK
2026-06-18 17:14:34,7,,,Timeout/Error
2026-06-18 17:14:44,8,,,Timeout/Error
2026-06-18 17:14:54,1,2885.70,27.0,OK
2026-06-18 17:15:05,2,2847.40,26.4,OK
2026-06-18 17:15:15,3,2892.60,26.4,OK
2026-06-18 17:15:25,4,880.20,26.4,OK
2026-06-18 17:15:35,5,2910.60,25.8,OK
2026-06-18 17:15:45,6,2733.20,26.0,OK
2026-06-18 17:15:56,7,,,Timeout/Error
2026-06-18 17:16:06,8,,,Timeout/Error
2026-06-18 17:16:16,1,2885.60,27.1,OK
2026-06-18 17:16:26,2,2847.40,26.4,OK
2026-06-18 17:16:37,3,2892.50,26.4,OK
2026-06-18 17:16:47,4,880.20,26.5,OK
2026-06-18 17:16:58,5,2910.60,25.9,OK
2026-06-18 17:17:08,6,2733.40,26.0,OK
2026-06-18 17:17:18,7,,,Timeout/Error
2026-06-18 17:17:28,8,,,Timeout/Error
2026-06-18 17:17:39,1,,,Timeout/Error
2026-06-18 17:17:50,2,2847.40,26.4,OK
2026-06-18 17:18:00,3,2892.70,26.4,OK
2026-06-18 17:18:10,4,880.20,26.4,OK
2026-06-18 17:18:20,5,2910.60,25.8,OK
2026-06-18 17:18:30,6,2733.40,26.1,OK
2026-06-18 17:18:41,7,,,Timeout/Error
2026-06-18 17:18:51,8,,,Timeout/Error
2026-06-18 17:19:01,1,2885.50,27.1,OK
2026-06-18 17:19:11,2,2847.40,26.4,OK
2026-06-18 17:19:22,3,2892.50,26.4,OK
2026-06-18 17:19:32,4,880.20,26.5,OK
2026-06-18 17:19:42,5,2910.60,25.9,OK
2026-06-18 17:19:53,6,2733.30,26.0,OK
2026-06-18 17:20:03,7,,,Timeout/Error
2026-06-18 17:20:13,8,,,Timeout/Error
2026-06-18 17:20:23,1,2885.50,27.2,OK
2026-06-18 17:20:34,2,2847.40,26.4,OK
2026-06-18 17:20:44,3,2892.50,26.4,OK
2026-06-18 17:20:54,4,880.20,26.5,OK
2026-06-18 17:21:05,5,2910.60,25.8,OK
2026-06-18 17:21:15,6,2733.40,26.1,OK
2026-06-18 17:21:25,7,,,Timeout/Error
2026-06-18 17:21:35,8,,,Timeout/Error
2026-06-18 17:21:46,1,2885.60,27.2,OK
2026-06-18 17:21:56,2,2847.50,26.4,OK
2026-06-18 17:22:06,3,2892.60,26.4,OK
2026-06-18 17:22:17,4,880.20,26.5,OK
2026-06-18 17:22:27,5,2910.60,25.8,OK
2026-06-18 17:22:37,6,2733.30,26.1,OK
2026-06-18 17:22:47,7,,,Timeout/Error
2026-06-18 17:22:58,8,,,Timeout/Error
2026-06-18 17:23:08,1,2885.40,27.2,OK
2026-06-18 17:23:18,2,2847.50,26.4,OK
2026-06-18 17:23:28,3,2892.50,26.4,OK
2026-06-18 17:23:39,4,880.20,26.5,OK
2026-06-18 17:23:49,5,2910.70,25.9,OK
2026-06-18 17:23:59,6,2733.40,26.1,OK
2026-06-18 17:24:09,7,,,Timeout/Error
2026-06-18 17:24:20,8,,,Timeout/Error
2026-06-18 17:24:30,1,2885.60,27.2,OK
2026-06-18 17:24:40,2,2847.50,26.4,OK
2026-06-18 17:24:51,3,2892.50,26.4,OK
2026-06-18 17:25:01,4,880.20,26.5,OK
2026-06-18 17:25:11,5,2910.60,25.9,OK
2026-06-18 17:25:21,6,2733.40,26.1,OK
2026-06-18 17:25:32,7,,,Timeout/Error
2026-06-18 17:25:42,8,,,Timeout/Error
2026-06-18 17:25:52,1,2885.50,27.1,OK
2026-06-18 17:26:02,2,2847.60,26.4,OK
2026-06-18 17:26:13,3,2892.60,26.5,OK
2026-06-18 17:26:23,4,880.30,26.5,OK
2026-06-18 17:26:33,5,2910.60,25.9,OK
2026-06-18 17:26:44,6,2733.30,26.1,OK
2026-06-18 17:26:54,7,,,Timeout/Error
2026-06-18 17:27:04,8,,,Timeout/Error
2026-06-18 17:27:14,1,2885.40,27.2,OK
2026-06-18 17:27:25,2,2847.50,26.5,OK
2026-06-18 17:27:35,3,2892.50,26.5,OK
2026-06-18 17:27:45,4,880.30,26.5,OK
2026-06-18 17:27:56,5,2910.60,25.9,OK
2026-06-18 17:28:06,6,2733.20,26.1,OK
2026-06-18 17:28:16,7,,,Timeout/Error
2026-06-18 17:28:26,8,,,Timeout/Error
2026-06-18 17:28:37,1,2885.40,27.3,OK
2026-06-18 17:28:47,2,2847.60,26.4,OK
2026-06-18 17:28:57,3,2892.50,26.5,OK
2026-06-18 17:29:08,4,880.30,26.6,OK
2026-06-18 17:29:18,5,2910.70,26.0,OK
2026-06-18 17:29:28,6,2733.40,26.2,OK
2026-06-18 17:29:38,7,,,Timeout/Error
2026-06-18 17:29:49,8,,,Timeout/Error
2026-06-18 17:29:59,1,2885.40,27.3,OK
2026-06-18 17:30:09,2,2847.60,26.5,OK
2026-06-18 17:30:20,3,2892.50,26.5,OK
2026-06-18 17:30:30,4,880.30,26.6,OK
2026-06-18 17:30:40,5,2910.60,25.9,OK
2026-06-18 17:30:50,6,2733.40,26.1,OK
2026-06-18 17:31:01,7,,,Timeout/Error
2026-06-18 17:31:11,8,,,Timeout/Error
2026-06-18 17:31:21,1,2885.50,27.3,OK
2026-06-18 17:31:31,2,2847.50,26.5,OK
2026-06-18 17:31:42,3,2892.50,26.5,OK
2026-06-18 17:31:52,4,880.30,26.6,OK
2026-06-18 17:32:03,5,2910.60,26.0,OK
2026-06-18 17:32:13,6,2733.30,26.2,OK
2026-06-18 17:32:23,7,,,Timeout/Error
2026-06-18 17:32:33,8,,,Timeout/Error
2026-06-18 17:32:43,1,2885.50,27.3,OK
2026-06-18 17:32:54,2,2847.50,26.5,OK
2026-06-18 17:33:04,3,2892.50,26.5,OK
2026-06-18 17:33:14,4,880.30,26.6,OK
2026-06-18 17:33:25,5,2910.80,26.0,OK
2026-06-18 17:33:35,6,2733.40,26.2,OK
2026-06-18 17:33:45,7,,,Timeout/Error
2026-06-18 17:33:55,8,,,Timeout/Error
2026-06-18 17:34:05,1,2885.50,27.3,OK
2026-06-18 17:34:16,2,2847.60,26.5,OK
2026-06-18 17:34:26,3,2892.60,26.5,OK
2026-06-18 17:34:37,4,880.30,26.6,OK
2026-06-18 17:34:47,5,2910.70,26.0,OK
2026-06-18 17:34:57,6,2733.20,26.2,OK
2026-06-18 17:35:07,7,,,Timeout/Error
2026-06-18 17:35:18,8,,,Timeout/Error
2026-06-18 17:35:28,1,2885.40,27.3,OK
2026-06-18 17:35:38,2,2847.50,26.5,OK
2026-06-18 17:35:48,3,2892.50,26.5,OK
2026-06-18 17:35:59,4,880.30,26.6,OK
2026-06-18 17:36:09,5,2910.70,26.0,OK
2026-06-18 17:36:19,6,2733.40,26.2,OK
2026-06-18 17:36:30,7,,,Timeout/Error
2026-06-18 17:36:40,8,,,Timeout/Error
2026-06-18 17:36:50,1,2885.60,27.4,OK
2026-06-18 17:37:01,2,2847.60,26.5,OK
2026-06-18 17:37:11,3,2892.60,26.5,OK
2026-06-18 17:37:21,4,880.30,26.6,OK
2026-06-18 17:37:31,5,2910.70,26.0,OK
2026-06-18 17:37:42,6,2733.20,26.1,OK
2026-06-18 17:37:52,7,,,Timeout/Error
2026-06-18 17:38:02,8,,,Timeout/Error
2026-06-18 17:38:13,1,,,Timeout/Error
2026-06-18 17:38:24,2,2847.60,26.5,OK
2026-06-18 17:38:34,3,2892.50,26.6,OK
2026-06-18 17:38:44,4,880.30,26.7,OK
2026-06-18 17:38:54,5,2910.70,26.0,OK
2026-06-18 17:39:05,6,2733.40,26.2,OK
2026-06-18 17:39:15,7,,,Timeout/Error
2026-06-18 17:39:25,8,,,Timeout/Error
2026-06-18 17:39:35,1,2885.60,27.4,OK
2026-06-18 17:39:45,2,2847.60,26.5,OK
2026-06-18 17:39:56,3,2892.50,26.5,OK
2026-06-18 17:40:06,4,880.30,26.6,OK
2026-06-18 17:40:17,5,2910.50,26.0,OK
2026-06-18 17:40:27,6,2733.20,26.2,OK
2026-06-18 17:40:37,7,,,Timeout/Error
2026-06-18 17:40:47,8,,,Timeout/Error
2026-06-18 17:40:57,1,2885.40,27.4,OK
2026-06-18 17:41:08,2,2847.60,26.5,OK
2026-06-18 17:41:18,3,2892.50,26.5,OK
2026-06-18 17:41:28,4,880.30,26.6,OK
2026-06-18 17:41:39,5,2910.50,26.0,OK
2026-06-18 17:41:49,6,2733.30,26.2,OK
2026-06-18 17:41:59,7,,,Timeout/Error
2026-06-18 17:42:09,8,,,Timeout/Error
2026-06-18 17:42:20,1,2885.70,27.4,OK
2026-06-18 17:42:30,2,2847.60,26.5,OK
2026-06-18 17:42:40,3,2892.60,26.6,OK
2026-06-18 17:42:51,4,880.30,26.6,OK
2026-06-18 17:43:01,5,2910.50,26.1,OK
2026-06-18 17:43:11,6,2733.40,26.2,OK
2026-06-18 17:43:21,7,,,Timeout/Error
2026-06-18 17:43:32,8,,,Timeout/Error
2026-06-18 17:43:42,1,2885.50,27.4,OK
2026-06-18 17:43:52,2,2847.60,26.5,OK
2026-06-18 17:44:03,3,2892.50,26.6,OK
2026-06-18 17:44:13,4,880.30,26.6,OK
2026-06-18 17:44:23,5,2910.50,26.1,OK
2026-06-18 17:44:33,6,2733.30,26.2,OK
2026-06-18 17:44:44,7,,,Timeout/Error
2026-06-18 17:44:54,8,,,Timeout/Error
2026-06-18 17:45:04,1,2885.50,27.4,OK
2026-06-18 17:45:14,2,2847.70,26.5,OK
2026-06-18 17:45:25,3,2892.50,26.6,OK
2026-06-18 17:45:35,4,880.30,26.6,OK
2026-06-18 17:45:45,5,2910.50,26.1,OK
2026-06-18 17:45:56,6,2733.30,26.2,OK
2026-06-18 17:46:06,7,,,Timeout/Error
2026-06-18 17:46:16,8,,,Timeout/Error
2026-06-18 17:46:26,1,2885.40,27.5,OK
2026-06-18 17:46:37,2,2847.60,26.6,OK
2026-06-18 17:46:47,3,2892.50,26.6,OK
2026-06-18 17:46:57,4,880.40,26.6,OK
2026-06-18 17:47:08,5,2910.50,26.0,OK
2026-06-18 17:47:18,6,2733.30,26.2,OK
2026-06-18 17:47:28,7,,,Timeout/Error
2026-06-18 17:47:38,8,,,Timeout/Error
2026-06-18 17:47:49,1,2885.40,27.5,OK
2026-06-18 17:47:59,2,2847.70,26.6,OK
2026-06-18 17:48:09,3,2892.50,26.6,OK
2026-06-18 17:48:20,4,880.40,26.6,OK
2026-06-18 17:48:30,5,2910.50,26.1,OK
2026-06-18 17:48:40,6,2733.30,26.2,OK
2026-06-18 17:48:50,7,,,Timeout/Error
2026-06-18 17:49:00,8,,,Timeout/Error
2026-06-18 17:49:11,1,2885.40,27.5,OK
2026-06-18 17:49:21,2,2847.70,26.6,OK
2026-06-18 17:49:31,3,2892.50,26.6,OK
2026-06-18 17:49:42,4,880.40,26.6,OK
2026-06-18 17:49:52,5,2910.70,26.1,OK
2026-06-18 17:50:02,6,2733.20,26.3,OK
2026-06-18 17:50:12,7,,,Timeout/Error
2026-06-18 17:50:23,8,,,Timeout/Error
2026-06-18 17:50:33,1,2885.40,27.5,OK
2026-06-18 17:50:43,2,2847.70,26.6,OK
2026-06-18 17:50:54,3,2892.50,26.6,OK
2026-06-18 17:51:04,4,880.40,26.6,OK
2026-06-18 17:51:14,5,2910.50,26.1,OK
2026-06-18 17:51:24,6,2733.20,26.3,OK
2026-06-18 17:51:35,7,,,Timeout/Error
2026-06-18 17:51:45,8,,,Timeout/Error
2026-06-18 17:51:55,1,2885.50,27.5,OK
2026-06-18 17:52:05,2,2847.70,26.6,OK
