时间,通道,频率 (Hz),温度 (C),状态
2026-06-22 16:57:14,1,2885.00,27.7,OK
2026-06-22 16:57:23,2,2847.60,27.2,OK
2026-06-22 16:57:33,3,2891.70,27.2,OK
2026-06-22 16:57:45,4,892.20,29.9,OK
2026-06-22 16:57:55,5,2911.00,26.4,OK
2026-06-22 16:58:04,6,2733.20,26.7,OK
2026-06-22 16:58:08,7,,,Timeout/Error
2026-06-22 16:58:11,8,,,Timeout/Error
2026-06-22 16:58:23,1,2884.80,27.7,OK
2026-06-22 16:58:32,2,2847.70,27.2,OK
2026-06-22 16:58:42,3,2891.80,27.2,OK
2026-06-22 16:58:54,4,892.00,29.6,OK
2026-06-22 16:59:04,5,2910.90,26.4,OK
2026-06-22 16:59:13,6,2733.20,26.7,OK
2026-06-22 16:59:17,7,,,Timeout/Error
2026-06-22 16:59:19,8,,,Timeout/Error
2026-06-22 16:59:31,1,2884.90,27.6,OK
2026-06-22 16:59:40,2,2847.70,27.2,OK
2026-06-22 16:59:49,3,2891.70,27.2,OK
2026-06-22 17:00:01,4,891.90,29.3,OK
2026-06-22 17:00:11,5,2910.90,26.4,OK
2026-06-22 17:00:20,6,2733.30,26.7,OK
2026-06-22 17:00:24,7,,,Timeout/Error
2026-06-22 17:00:27,8,,,Timeout/Error
2026-06-22 17:00:38,1,2884.70,27.7,OK
2026-06-22 17:00:47,2,2847.70,27.2,OK
2026-06-22 17:00:57,3,2891.60,27.2,OK
2026-06-22 17:01:08,4,891.80,28.0,OK
2026-06-22 17:01:18,5,2910.90,27.2,OK
2026-06-22 17:01:28,6,2733.20,27.1,OK
2026-06-22 17:01:31,7,,,Timeout/Error
2026-06-22 17:01:34,8,,,Timeout/Error
2026-06-22 17:01:46,1,2885.10,27.6,OK
2026-06-22 17:01:55,2,2847.60,27.2,OK
2026-06-22 17:02:05,3,2891.90,27.2,OK
2026-06-22 17:02:17,4,891.60,27.9,OK
2026-06-22 17:02:26,5,2910.90,27.1,OK
2026-06-22 17:02:35,6,2733.20,27.0,OK
2026-06-22 17:02:38,7,,,Timeout/Error
2026-06-22 17:02:40,8,,,Timeout/Error
2026-06-22 17:02:52,1,2884.80,27.7,OK
2026-06-22 17:03:02,2,2847.50,27.3,OK
2026-06-22 17:03:11,3,2891.70,27.3,OK
2026-06-22 17:03:22,4,891.60,27.9,OK
2026-06-22 17:03:32,5,2910.90,27.1,OK
2026-06-22 17:03:41,6,2733.30,27.0,OK
2026-06-22 17:03:45,7,,,Timeout/Error
2026-06-22 17:03:47,8,,,Timeout/Error
2026-06-22 17:03:59,1,2884.60,27.7,OK
2026-06-22 17:04:09,2,2847.60,27.2,OK
2026-06-22 17:04:18,3,2891.70,27.2,OK
2026-06-22 17:04:29,4,891.50,27.7,OK
2026-06-22 17:04:38,5,2910.90,27.0,OK
2026-06-22 17:04:48,6,2733.20,27.0,OK
2026-06-22 17:04:52,7,,,Timeout/Error
2026-06-22 17:04:54,8,,,Timeout/Error
2026-06-22 17:05:06,1,2884.90,27.7,OK
2026-06-22 17:05:16,2,2847.60,27.2,OK
2026-06-22 17:05:25,3,2891.80,27.2,OK
2026-06-22 17:05:37,4,891.40,27.7,OK
2026-06-22 17:05:46,5,2910.90,27.0,OK
2026-06-22 17:05:56,6,2733.20,27.0,OK
2026-06-22 17:05:59,7,,,Timeout/Error
2026-06-22 17:06:02,8,,,Timeout/Error
2026-06-22 17:06:14,1,2884.70,27.7,OK
2026-06-22 17:06:24,2,2847.50,27.3,OK
2026-06-22 17:06:33,3,2891.80,27.3,OK
2026-06-22 17:06:45,4,891.40,27.6,OK
2026-06-22 17:06:54,5,2910.90,27.0,OK
2026-06-22 17:07:04,6,2733.20,27.0,OK
2026-06-22 17:07:08,7,,,Timeout/Error
2026-06-22 17:07:10,8,,,Timeout/Error
2026-06-22 17:07:22,1,2884.70,27.6,OK
2026-06-22 17:07:32,2,2847.60,27.2,OK
2026-06-22 17:07:41,3,2891.70,27.2,OK
2026-06-22 17:07:53,4,891.30,27.5,OK
2026-06-22 17:08:03,5,2911.00,26.9,OK
2026-06-22 17:08:13,6,2733.20,26.9,OK
2026-06-22 17:08:16,7,,,Timeout/Error
2026-06-22 17:08:19,8,,,Timeout/Error
2026-06-22 17:08:31,1,2885.00,27.6,OK
2026-06-22 17:08:40,2,2847.50,27.2,OK
2026-06-22 17:08:50,3,2891.70,27.2,OK
2026-06-22 17:09:02,4,891.30,27.5,OK
2026-06-22 17:09:12,5,2911.00,26.9,OK
2026-06-22 17:09:21,6,2733.30,26.9,OK
2026-06-22 17:09:25,7,,,Timeout/Error
2026-06-22 17:09:28,8,,,Timeout/Error
2026-06-22 17:09:40,1,2884.80,27.7,OK
2026-06-22 17:09:49,2,2847.60,27.2,OK
2026-06-22 17:09:59,3,2891.70,27.2,OK
2026-06-22 17:10:11,4,891.30,27.5,OK
2026-06-22 17:10:21,5,2911.00,26.9,OK
2026-06-22 17:10:30,6,2733.30,26.9,OK
2026-06-22 17:10:34,7,,,Timeout/Error
2026-06-22 17:10:37,8,,,Timeout/Error
2026-06-22 17:10:48,1,2885.00,27.7,OK
2026-06-22 17:10:58,2,2847.70,27.3,OK
2026-06-22 17:11:08,3,2891.80,27.3,OK
2026-06-22 17:11:20,4,891.30,27.5,OK
2026-06-22 17:11:29,5,2911.00,26.9,OK
2026-06-22 17:11:39,6,2733.30,26.9,OK
2026-06-22 17:11:43,7,,,Timeout/Error
2026-06-22 17:11:45,8,,,Timeout/Error
2026-06-22 17:11:57,1,2884.90,27.7,OK
2026-06-22 17:12:07,2,2847.60,27.3,OK
2026-06-22 17:12:17,3,2891.90,27.3,OK
2026-06-22 17:12:29,4,891.30,27.4,OK
2026-06-22 17:12:38,5,2910.90,26.9,OK
2026-06-22 17:12:47,6,2733.20,26.9,OK
2026-06-22 17:12:49,7,,,Timeout/Error
2026-06-22 17:12:52,8,,,Timeout/Error
2026-06-22 17:13:03,1,2884.70,27.7,OK
2026-06-22 17:13:13,2,2847.70,27.3,OK
2026-06-22 17:13:27,1,2909.92,27.5,OK
2026-06-22 17:13:36,2,2906.22,27.1,OK
2026-06-22 17:13:46,3,2910.61,27.1,OK
2026-06-22 17:13:57,4,744.48,27.3,OK
2026-06-22 17:14:06,5,2912.54,26.8,OK
2026-06-22 17:14:16,6,2894.76,26.8,OK
2026-06-22 17:14:18,7,,,Timeout/Error
2026-06-22 17:14:21,8,,,Timeout/Error
2026-06-22 17:14:33,1,2909.91,27.7,OK
2026-06-22 17:14:42,2,2906.19,27.3,OK
2026-06-22 17:14:51,3,2910.62,27.3,OK
2026-06-22 17:15:03,4,744.48,27.3,OK
2026-06-22 17:15:12,5,2912.54,26.9,OK
2026-06-22 17:15:22,6,2894.76,26.9,OK
2026-06-22 17:15:25,7,,,Timeout/Error
2026-06-22 17:15:28,8,,,Timeout/Error
2026-06-22 17:15:40,1,2909.95,27.6,OK
2026-06-22 17:15:49,2,2906.20,27.2,OK
2026-06-22 17:15:59,3,2910.63,27.2,OK
2026-06-22 17:16:11,4,744.48,27.2,OK
2026-06-22 17:16:20,5,2912.53,26.8,OK
2026-06-22 17:16:29,6,2894.76,26.8,OK
2026-06-22 17:16:32,7,,,Timeout/Error
2026-06-22 17:16:34,8,,,Timeout/Error
2026-06-22 17:16:46,1,2909.93,27.7,OK
2026-06-22 17:16:56,2,2906.19,27.3,OK
2026-06-22 17:17:05,3,2910.60,27.3,OK
2026-06-22 17:17:16,4,744.48,27.3,OK
2026-06-22 17:17:26,5,2912.53,26.8,OK
2026-06-22 17:17:35,6,2894.76,26.8,OK
2026-06-22 17:17:39,7,,,Timeout/Error
2026-06-22 17:17:42,8,,,Timeout/Error
2026-06-22 17:18:03,1,4304012.00,27.7,OK
2026-06-22 17:18:13,2,2522706.75,27.2,OK
2026-06-22 17:18:22,3,4662501.50,27.2,OK
2026-06-22 17:18:34,4,5857188.00,27.2,OK
2026-06-22 17:18:43,5,5460093.50,26.8,OK
2026-06-22 17:18:53,6,17947144.00,26.8,OK
2026-06-22 17:18:55,7,,,Timeout/Error
2026-06-22 17:18:57,8,,,Timeout/Error
2026-06-22 17:19:09,1,4319086.00,27.7,OK
2026-06-22 17:19:19,2,2523362.00,27.2,OK
2026-06-22 17:19:29,3,4684128.50,27.2,OK
2026-06-22 17:19:41,4,5850634.00,27.2,OK
2026-06-22 17:19:50,5,19111242.00,26.8,OK
2026-06-22 17:20:00,6,17960908.00,26.8,OK
2026-06-22 17:20:03,7,,,Timeout/Error
2026-06-22 17:20:06,8,,,Timeout/Error
2026-06-22 17:20:18,1,4321707.00,27.7,OK
2026-06-22 17:20:27,2,2520085.25,27.3,OK
2026-06-22 17:20:37,3,4625146.00,27.3,OK
2026-06-22 17:20:49,4,5891922.50,27.3,OK
2026-06-22 17:20:58,5,5491550.50,26.8,OK
2026-06-22 17:21:08,6,17942558.00,26.8,OK
2026-06-22 17:21:12,7,,,Timeout/Error
2026-06-22 17:21:14,8,,,Timeout/Error
2026-06-22 17:21:26,1,4314498.00,27.7,OK
2026-06-22 17:21:36,2,2520085.50,27.3,OK
2026-06-22 17:21:45,3,19006366.00,27.3,OK
2026-06-22 17:21:56,4,5854567.00,27.3,OK
2026-06-22 17:22:06,5,19111898.00,26.8,OK
2026-06-22 17:22:15,6,17955010.00,26.8,OK
2026-06-22 17:22:19,7,,,Timeout/Error
2026-06-22 17:22:22,8,,,Timeout/Error
2026-06-22 17:22:33,1,4318430.50,27.7,OK
2026-06-22 17:22:43,2,2520085.50,27.3,OK
2026-06-22 17:22:52,3,4619247.50,27.3,OK
2026-06-22 17:23:04,4,5870295.50,27.3,OK
2026-06-22 17:23:13,5,19102722.00,26.8,OK
2026-06-22 17:23:23,6,17944524.00,26.8,OK
2026-06-22 17:23:27,7,,,Timeout/Error
2026-06-22 17:23:29,8,,,Timeout/Error
2026-06-22 17:23:41,1,4317119.50,27.7,OK
2026-06-22 17:23:50,2,2524017.50,27.3,OK
2026-06-22 17:24:00,3,4621869.00,27.3,OK
2026-06-22 17:24:12,4,5859809.50,27.3,OK
2026-06-22 17:24:21,5,19123694.00,26.8,OK
2026-06-22 17:24:30,6,17956976.00,26.8,OK
2026-06-22 17:24:34,7,,,Timeout/Error
2026-06-22 17:24:36,8,,,Timeout/Error
2026-06-22 17:24:48,1,4376758.00,27.6,OK
2026-06-22 17:24:58,2,2530571.00,27.2,OK
2026-06-22 17:25:07,3,4683473.00,27.2,OK
2026-06-22 17:25:19,4,5856532.50,27.2,OK
2026-06-22 17:25:28,5,19105344.00,26.8,OK
2026-06-22 17:25:38,6,17932072.00,26.8,OK
2026-06-22 17:25:41,7,,,Timeout/Error
2026-06-22 17:25:44,8,,,Timeout/Error
2026-06-22 17:25:56,1,4378068.50,27.7,OK
2026-06-22 17:26:06,2,2543023.00,27.3,OK
2026-06-22 17:26:15,3,4675608.50,27.3,OK
